Ticker,Category,SP-Rank,Morningstar,MS-Risk,NetAssets,YTD-return,Return-5Y-Avg,YearsUP,YearsDOWN,Best-1Y-Return,Worst-1Y-Return,Best-3Y-Return,Worst-3Y-Return,LAR-1Y,LAR-3Y,LAR-5Y,LAR-10Y,PropCash,PropStocks,PropBonds,PropOther,PropTop10Hold,EqHldPE,EqHldPB,EqHldPS,EqHldPCF,EqHldMedMktCap,EqHld3Y-EarnGr,PropBM,PropCC,PropFS,PropRE,PropCD,PropHC,PropU,PropCS,PropE,PropI,PropT,Best1Y-Return,Worst1Y-Return,Alpha1Y,Beta1Y,MeanRet1Y,R-square1Y,StdDev1Y,Sharpe1Y,Treynor1Y,Alpha3Y,Beta3Y,MeanRet3Y,R-square3Y,StdDev3Y,Sharpe3Y,Treynor3Y
NWGIX,Large Blend,3,5,3,57430000,0.1845,0.0931,7,2,0.2794,-0.3665,0.1341,-0.1019,0.1712,0.1556,0.0931,0.0612,2.47,97.41,0,0.12,30.35,14.03,2.23,1.55,7.2," 48,020.00 ",0.1676,4.32,12.09,13.74,1.96,11.85,12.63,3.66,1.52,9.69,12.29,16.25,0.2794,-0.3665,-0.37,0.98,1.27,97.65,12.36,1.23,15.73,-1.11,1.07,0.91,97.53,19.54,0.55,8.61
NWGLX,Large Growth,3,7,1,71250000,0.1389,0.0958,13,5,0.3533,-0.3621,0.1498,-0.2742,0.047,0.1028,0.0829,0.0572,1.46,98.54,0,0,34.15,19.38,3.6,2.18,12.45," 40,100.00 ",0.2192,10.86,9.84,1.63,2.8,13.36,12.53,1.25,0,4.9,18.44,24.39,0.3533,-0.3621,-1.42,0.87,1.04,93.39,11.16,1.11,14.26,0.55,0.89,0.88,95,16.48,0.63,10.65
NWGTX,Large Blend,3,3,4,340200000,0.1989,0.0823,16,4,0.2946,-0.3839,0.1649,-0.0901,0.1531,0.1338,0.0696,0.0661,2.92,96.17,0,0.91,25.86,14.08,1.64,1.28,5.12," 46,340.00 ",0.1618,2.58,5.13,24.04,0,11.82,10.26,0.9,3.15,12.34,14.77,15,0.2946,-0.3839,-2.53,1.14,1.3,96.45,14.43,1.08,13.62,-2.17,1.08,0.82,98,19.64,0.5,7.55
NWHOX,Technology,3,9,2,93330000,0.1822,0.1185,4,2,0.5615,-0.4408,0.2027,0.0022,0.0786,0.1094,0.1053,0.0603,1.43,98.57,0,0,33.54,17.4,3.01,2.05,9.19," 32,370.00 ",0.2607,0,6.18,0,0,0.02,8.04,0,1,0,3.67,81.07,0.5615,-0.4408,1.31,1.01,1.14,80.05,16.19,0.84,12.92,4.16,0.98,1.12,83.3,21.06,0.63,12.03
NWHWX,Mid-Cap Growth,3,1,2,1480000000,0.2152,0.119,9,3,0.3404,-0.3651,0.2068,-0.0914,0.1924,0.1587,0.119,0.0977,2.64,97.36,0,0,24.13,25.84,3.98,2.75,14.54," 8,120.00 ",0.2195,2.3,24.37,8.66,1.52,3.24,11.25,0,0,7.55,20.65,20.46,0.3404,-0.3651,-0.37,1.02,1.32,77.48,14.32,1.1,15.54,2.11,0.98,1.09,86.38,19.05,0.68,12.03
NWKFX,Large Blend,4,3,4,340200000,0.2011,0.0852,17,4,0.2975,-0.382,0.1678,-0.0878,0.2272,0.1593,0.0852,0.0753,2.92,96.17,0,0.91,25.86,14.08,1.64,1.28,5.12," 46,340.00 ",0.1618,2.58,5.13,24.04,0,11.82,10.26,0.9,3.15,12.34,14.77,15,0.2975,-0.382,-2.24,1.14,1.32,96.39,14.4,1.1,13.91,-1.91,1.08,0.85,98.02,19.65,0.51,7.81
NWWOX,World Stock,4,1,2,111760000,0.0928,0.081,38,14,0.3121,-0.4305,0.1687,-0.1387,0.0561,0.1086,0.0683,0.0646,5.44,94.56,0,0,42.68,17.89,2.73,2.75,6.69," 62,520.00 ",0.2088,4.83,11.51,30.16,0,36.09,7.19,0,0,2.3,4.6,3.32,0.3121,-0.4305,7.06,0.63,1.09,73.35,12.7,1.03,20.72,3.19,0.72,0.79,80.43,17.71,0.52,11.13
NYVRX,Large Blend,3,1,4,19730000000,0.2109,0.0744,7,2,0.3156,-0.4023,0.1246,-0.1046,0.2247,0.1259,0.0744,0.0688,1.82,98.15,0.03,0,48.51,17.12,1.77,1.35,6.68," 49,110.00 ",0.1589,6.79,8.49,38.28,1.74,12.86,7.16,0,1.46,5.99,4.65,12.57,0.3156,-0.4023,-3.89,1.05,1.06,95.77,13.28,0.96,11.94,-2.81,1.06,0.76,96.92,19.51,0.46,6.89
OARDX,Large Blend,3,5,1,5570000000,0.1624,0.0757,26,6,0.2702,-0.3128,0.1489,-0.0549,0.101,0.1175,0.063,0.0737,2.92,97.08,0,0,22.91,15.35,2.62,1.6,8.7," 50,650.00 ",0.183,4.15,12.43,16.41,0,7.37,14.94,1.51,1.48,10.64,10.74,20.33,0.2702,-0.3128,-2.24,1.02,1.16,97.9,12.75,1.09,13.66,-1.54,0.91,0.73,97.36,16.72,0.51,8.17
OAREX,Foreign Small/Mid Blend,4,2,4,2260000000,0.2335,0.1229,7,4,0.6708,-0.4586,0.3351,-0.1258,0.3404,0.1039,0.1229,0.117,4.91,95.09,0,0,28.08,14.52,1.63,0.69,7.44," 1,700.00 ",0.1466,10.16,15.08,9.13,2.84,7.92,2.5,0,0,2.39,27.56,22.41,0.6708,-0.4586,2.41,0.94,0.95,86.86,17.4,0.65,11.04,5.58,1.07,1.24,89.02,25.21,0.58,11.34
