Ticker,Category,SP-Rank,Morningstar,MS-Risk,NetAssets,YTD-return,Return-5Y-Avg,YearsUP,YearsDOWN,Best-1Y-Return,Worst-1Y-Return,Best-3Y-Return,Worst-3Y-Return,LAR-1Y,LAR-3Y,LAR-5Y,LAR-10Y,PropCash,PropStocks,PropBonds,PropOther,PropTop10Hold,EqHldPE,EqHldPB,EqHldPS,EqHldPCF,EqHldMedMktCap,EqHld3Y-EarnGr,PropBM,PropCC,PropFS,PropRE,PropCD,PropHC,PropU,PropCS,PropE,PropI,PropT,Best1Y-Return,Worst1Y-Return,Alpha1Y,Beta1Y,MeanRet1Y,R-square1Y,StdDev1Y,Sharpe1Y,Treynor1Y,Alpha3Y,Beta3Y,MeanRet3Y,R-square3Y,StdDev3Y,Sharpe3Y,Treynor3Y
AABPX,Moderate Allocation,5,9,3,917290000,0.1383,0.0938,15,3,0.2378,-0.25,0.1401,-0.0465,0.1555,0.1157,0.0938,0.0727,12.63,59.63,27.05,0,18.88,12.15,1.46,1,4.92," 57,940.00 ",0.1075,1.03,5.48,25.77,0,8.43,14.93,4.21,4.53,14.55,10.05,11.01,0.2378,-0.25,2.08,1,0.95,92,8.79,1.29,11.52,0.75,1.04,0.82,95.71,12.73,0.76,8.91
AAGAX,Large Value,5,1,4,10200000000,0.2301,0.1064,14,4,0.3615,-0.3927,0.2158,-0.0916,0.2591,0.1659,0.1064,0.0928,3.96,95.23,0.49,0,22.55,12.28,1.51,1.05,5.12," 57,880.00 ",0.1087,1.04,5.66,25.22,0.38,9.36,14.64,3.83,4.43,13.4,11.44,10.58,0.3615,-0.3927,-1.34,1.12,1.37,96.94,14.06,1.16,14.8,-0.05,1.08,1.01,98.29,19.8,0.61,9.69
AAIPX,Foreign Large Value,4,2,3,2020000000,0.162,0.069,13,5,0.4184,-0.4074,0.2478,-0.1154,0.2426,0.0946,0.069,0.0833,4.49,91.51,0,4,17.7,13.3,1.45,0.82,4.6," 30,400.00 ",0.1202,9.16,15.16,21.61,0.85,7.64,11.78,1.38,5.83,12.08,7.94,6.57,0.4184,-0.4074,0.74,1.04,0.89,96.24,18.33,0.58,9.06,0.38,1.06,0.79,97.94,23.67,0.4,6.42
AARIX,Real Estate,4,1,3,13170000,0.017,0.0668,5,2,0.3617,-0.4177,0.2217,-0.1518,0.0489,0.1302,0.0668,0.0925,4.16,95.84,0,0,56.87,37.22,2.25,4.68,13.72," 6,730.00 ",0.2398,5.55,1.62,0,90.56,0,0,0,0,0,2.26,0,0.3617,-0.4177,2.23,0.93,1.14,64.43,16.66,0.82,13.86,-1.24,1.35,0.96,71.69,31.38,0.36,4.87
AASSX,Small Value,,4,3,4820000000,0.2674,0.12,6,3,0.3479,-0.3228,0.1734,-0.1041,0.3198,0.1743,0.12,0.1001,5.59,94.41,0,0,11.26,15.18,1.37,0.79,5.38," 1,750.00 ",0.1591,6.64,14.28,24.62,3.7,1.6,5.43,2.59,0.54,5.86,19.87,14.87,0.3479,-0.3228,-3.97,1.37,1.48,88.87,17.98,0.98,12.7,-0.22,1.32,1.21,90.27,25.13,0.58,9
ABIYX,Foreign Large Value,3,5,5,544360000,0.1515,0.0105,8,3,0.4423,-0.5344,0.2823,-0.1335,0.2579,0.0401,0.0105,0.0507,0,99.62,0,0.38,21.36,11.56,1.28,0.76,5.32," 29,650.00 ",0.0825,7.57,14.65,23.02,3.56,8.98,9.41,3.14,7.71,6.14,8.59,7.24,0.4423,-0.5344,-4.96,1.13,0.49,96.03,20,0.29,3.48,-5.57,1.19,0.39,97.72,26.68,0.17,0.78
ABPCX,Conservative Allocation,1,4,3,408080000,0.0321,0.0462,7,2,0.1817,-0.1989,0.0815,-0.0321,0.0331,0.0378,0.0462,0.0375,10.22,26.6,61.93,1.03,9.33,14.34,1.8,1.12,5.72," 29,670.00 ",0.1773,4.67,13.51,18.88,5.45,8.46,10.41,2.21,3.74,9.19,11.09,12.4,0.1817,-0.1989,-2.12,0.64,0.32,95.25,5.54,0.68,5.79,-1.29,0.71,0.41,95.67,8.64,0.55,6.38
ABPRX,Large Growth,3,1,4,1880000000,0.2227,0.1476,6,3,0.4108,-0.3164,0.1499,-0.0839,0.1997,0.1733,0.1476,0.0843,6.89,93.11,0,0,34.41,19.4,3.73,2.19,12.98," 43,710.00 ",0.2412,1.71,16.98,9.47,0,6.84,17.91,0,1.97,6.33,12.52,26.26,0.4108,-0.3164,-1.29,1.17,1.44,87.31,15.48,1.11,14.8,4.66,1,1.32,80.26,20.09,0.78,14.71
ABVYX,Large Value,4,4,4,409750000,0.2343,0.0729,7,4,0.2939,-0.4181,0.1586,-0.1267,0.2636,0.1502,0.0729,0.0536,2.04,97.96,0,0,28.46,12.19,1.42,0.9,4.2," 43,510.00 ",0.1325,2.99,11.72,29.88,0,3.91,14.16,3.54,4.51,14.3,6.12,8.86,0.2939,-0.4181,-2.87,1.13,1.26,95.83,14.29,1.05,13.25,-3.31,1.11,0.76,97.42,20.36,0.44,6.45
ABXCX,Foreign Large Blend,2,3,3,3840000000,0.1375,0.0026,6,2,0.2561,-0.495,0.1428,-0.1314,0.202,0.0224,0.0026,0.0277,0.53,99.31,0.1,0.06,16.41,13.93,1.78,1,5.61," 19,710.00 ",0.1635,4.82,17.63,18.68,4.4,12.13,6.98,3.19,7.31,4.51,14.49,5.87,0.2561,-0.495,-6.15,1.04,0.32,97.46,18.28,0.21,2.08,-5.98,1.04,0.25,98.07,23.32,0.12,0.14
ACINX,Foreign Small/Mid Growth,3,8,2,8010000000,0.1531,0.1166,14,6,0.7919,-0.4589,0.3259,-0.191,0.2018,0.0937,0.1166,0.1343,0,97.47,0,2.53,11.39,17.16,2.18,1.33,9.46," 2,440.00 ",0.1602,8.52,19.01,10.48,6.4,7.2,6.62,0.57,3.95,4.56,18.13,14.56,0.7919,-0.4589,2.12,0.84,0.85,86.98,15.56,0.65,11.11,5.28,0.96,1.13,92.08,22.09,0.61,12.06
ACVAX,Aggressive Allocation,3,1,3,1060000000,0.1243,0.0844,11,5,0.3338,-0.3382,0.1511,-0.0891,0.0756,0.0889,0.0717,0.0698,1.76,77.21,19.15,1.8,7.53,15.75,2.22,1.33,6.66," 24,870.00 ",0.1889,4.81,14.71,12.55,3.86,10.82,12.1,1.6,3.95,6.51,12.6,16.5,0.3338,-0.3382,-1.29,1.34,0.93,97.19,11.49,0.97,8.19,-1.66,1.26,0.78,97.08,15.34,0.6,6.6
ADGCX,Large Growth,4,1,3,143810000,0.2153,0.0925,11,2,0.3855,-0.3862,0.146,-0.088,0.1903,0.1691,0.0925,0.0644,17.77,82.23,0,0,30.67,16.13,2.52,1.91,9.72," 43,910.00 ",0.195,0,11.78,20.88,0,7.13,15.89,0,4.7,6.8,8.93,23.9,0.3855,-0.3862,-0.09,1.05,1.38,94.62,13.38,1.24,16.05,-0.59,1.01,0.9,91.84,19.06,0.56,9.04
ADJPX,Large Value,4,8,3,8770000000,0.1824,0.065,4,0,0.1417,0.0343,0.1019,0.0987,0.1736,0.1484,0.065,0.0804,3.6,96.4,0,0,32.36,11.3,1.63,1.15,5.15," 50,780.00 ",0.1424,6.08,7.89,22.43,1.5,7.87,12.54,1.53,2.04,17.86,6.35,13.9,0.1417,0.0343,-1.63,1.03,1.23,95.19,13.09,1.12,14.34,-3.52,1.05,0.69,94.98,19.44,0.42,6.09
ADVAX,Mid-Cap Blend,2,2,3,25650000,0.2127,0.0648,6,2,0.3682,-0.4985,0.1571,-0.1451,0.1732,0.0963,0.0522,0.0661,0.02,97.69,0,2.2,8.93,13.34,1.57,1.04,6.64," 10,170.00 ",0.1555,6.34,12.98,25.08,1.43,8.37,6.06,0.86,1.63,10.45,14.95,11.85,0.3682,-0.4985,-6.44,1.18,1.03,92.35,15.26,0.8,9.93,-5,1.28,0.78,91.25,24.24,0.38,4.97
AEDCX,Europe Stock,3,1,1,1290000000,0.1512,0.0887,10,5,0.6528,-0.4716,0.3039,-0.1363,0.194,0.1139,0.0887,0.1117,15.43,84.57,0,0,19.87,13.85,2.1,0.88,7," 11,660.00 ",0.1093,4.35,19.78,17,0,12.8,9,0.99,1.68,10.45,17.75,6.2,0.6528,-0.4716,3.64,0.87,1,92.42,15.73,0.76,12.98,2.74,0.93,0.9,95.54,21.02,0.51,9.43
AEGIX,Large Blend,4,4,3,432420000,0.1983,0.0982,14,6,0.2797,-0.3739,0.1365,-0.1865,0.1914,0.1616,0.0982,0.0819,3.14,95.77,0,1.09,26.22,15.48,2.18,1.23,6.44," 43,610.00 ",0.2043,3.49,10.17,15.11,0.01,12.23,12.04,2.62,2.52,11.47,11.47,18.87,0.2797,-0.3739,-1.05,1.07,1.33,96.53,13.5,1.18,15.04,-0.18,1,0.93,97.74,18.37,0.6,9.66
AGALX,Aggressive Allocation,3,4,3,42670000,0.0481,0.0426,8,4,0.2771,-0.353,0.1536,-0.0832,0.0768,0.0567,0.0426,0.0449,2.25,52.34,33,12.34,95.92,10.13,1.29,0.82,4.48," 4,460.00 ",0.22,5.37,11.92,16.25,13.85,10.99,7.78,3.69,7.85,5.74,12.51,4.04,0.2771,-0.353,-5.6,1.26,0.51,92.99,11.04,0.55,4.44,-5.76,1.28,0.45,96.91,15.64,0.34,3.22
AGGAX,World Stock,3,3,2,353690000,0.1731,0.0867,13,5,0.522,-0.3862,0.1787,-0.2415,0.1312,0.0981,0.0744,0.0759,2.31,97.69,0,0,18.05,14.13,2.2,1.46,6.69," 38,070.00 ",0.2026,3.17,18.47,11.78,0,6.9,11.12,0.68,4.04,8.22,7.51,28.12,0.522,-0.3862,4.59,0.8,1.03,90.26,14.66,0.84,14.72,3.2,0.78,0.83,91.62,18.1,0.54,10.93
AGGRX,World Stock,4,5,3,521580000,0.1939,0.0836,8,5,0.3413,-0.4286,0.2202,-0.1787,0.1358,0.1058,0.0708,0.0852,0,96.09,0,3.91,21.51,18.98,2.36,1.95,9.33," 32,510.00 ",0.2346,5.53,19.84,15.61,3.4,9.98,8.98,0.7,1.55,8.06,12.45,13.89,0.3413,-0.4286,5.42,0.8,1.1,85.91,15.08,0.87,15.78,2.76,0.83,0.83,88.84,19.6,0.5,9.88
AHGCX,Mid-Cap Growth,3,4,4,4420000000,0.2238,0.1091,8,3,0.4437,-0.4671,0.2653,-0.0376,0.1952,0.1415,0.1091,0.1131,0.23,99.35,0,0.42,21.12,21.91,2.82,1.92,8.36," 8,800.00 ",0.2627,5.42,23.18,6.53,1.36,8.55,11.74,0,4.53,3.97,18.86,15.87,0.4437,-0.4671,-3.75,1.15,1.21,81.77,15.76,0.92,12.25,0.38,1.09,1.05,87.32,21.12,0.59,9.89
AIAAX,Multisector Bond,5,1,2,19340000,0.0239,0.08,11,1,0.1514,-0.0679,0.0924,0.001,0.0599,0.0624,0.08,0.0472,2.14,30.79,50.65,0.99,100,13.01,1.47,0.93,4.94," 4,020.00 ",0.1881,5.96,10.38,11.49,25.53,9.78,8.55,3.18,6.36,5.66,8.98,4.14,0.1514,-0.0679,3.62,0.9,0.52,23.63,5.2,1.18,6.87,3.39,0.83,0.66,33.39,5.28,1.46,9.47
AIBLX,Moderate Allocation,4,6,2,67870000,0.0947,0.0836,6,1,0.2427,-0.2706,0.1339,-0.0472,0.101,0.0939,0.0836,0.0659,10.28,54.9,34.7,0.06,15.72,15.19,2.04,1.37,7.43," 28,440.00 ",0.1558,3.97,12.36,15.57,3.24,10.23,12.1,3.67,3.02,9.48,12.35,14,0.2427,-0.2706,1.42,0.84,0.77,95.48,7.27,1.26,11.08,0.57,0.93,0.73,95.99,11.38,0.75,8.85
AIIEX,Foreign Large Growth,4,7,1,7120000000,0.1227,0.0793,14,6,0.5508,-0.4077,0.2287,-0.209,0.1004,0.0687,0.0672,0.095,7.46,92.54,0,0,20.12,13.81,2.13,1.42,5.73," 33,310.00 ",0.1832,4.08,24.17,14.28,0,8.94,9.76,0.9,2.88,9.13,9.48,16.39,0.5508,-0.4077,1.68,0.82,0.8,92.75,14.85,0.64,10.7,2.34,0.82,0.79,93.44,18.75,0.5,9.55
AILAX,Multisector Bond,4,1,2,19340000,0.0223,0.0774,8,1,0.1486,-0.0703,0.0899,-0.0016,0.0173,0.0465,0.0692,0.0405,2.14,30.79,50.65,0.99,100,13.01,1.47,0.93,4.94," 4,020.00 ",0.1881,5.96,10.38,11.49,25.53,9.78,8.55,3.18,6.36,5.66,8.98,4.14,0.1486,-0.0703,3.42,0.89,0.5,23,5.21,1.13,6.67,3.18,0.83,0.64,32.92,5.28,1.42,9.23
AIOIX,Foreign Small/Mid Growth,3,1,4,136650000,0.2039,0.1268,8,3,0.7319,-0.524,0.4433,-0.1029,0.2683,0.1322,0.1268,0.1272,1.42,95.81,0.26,2.51,19.11,15.1,2.16,1.14,7.91," 1,970.00 ",0.216,6.57,26.85,9.28,4.59,7.65,4.05,0.07,0.66,4.23,20,16.06,0.7319,-0.524,4.88,0.97,1.19,81.02,18.71,0.76,13.54,6.1,1.02,1.24,88.62,23.96,0.62,12.34
AIVRX,Foreign Large Value,3,5,5,544360000,0.1476,0.0054,7,2,0.3402,-0.5368,0.2466,-0.1381,0.2522,0.0352,0.0054,0.0453,0,99.62,0,0.38,21.36,11.56,1.28,0.76,5.32," 29,650.00 ",0.0825,7.57,14.65,23.02,3.56,8.98,9.41,3.14,7.71,6.14,8.59,7.24,0.3402,-0.5368,-5.44,1.13,0.45,95.99,20.02,0.27,3.05,-6.07,1.19,0.35,97.68,26.7,0.15,0.36
AIWCX,Foreign Large Growth,4,1,3,1870000000,0.1368,0.0676,8,3,0.3283,-0.4577,0.1724,-0.0799,0.2041,0.0863,0.0676,0.0734,0.07,99.34,0,0.58,17.67,15.98,2.14,1.28,6.78," 30,190.00 ",0.1782,9.83,14.4,14.67,1.36,14.52,11.54,0.55,3.24,2.71,16.33,10.84,0.3283,-0.4577,0.43,0.97,0.82,95.17,17.26,0.56,8.82,0.59,0.98,0.75,96.13,22.04,0.4,6.81
AIZAX,Foreign Large Blend,2,1,3,1610000000,0.1365,0.0096,6,2,0.2569,-0.4911,0.1552,-0.1251,0.1638,0.0151,0.0009,0.0324,1.5,98.34,0.1,0.06,16.38,13.92,1.79,1,5.61," 19,830.00 ",0.1692,4.86,17.7,18.32,4.57,12.38,7.38,3.03,7.27,4.08,14.56,5.84,0.2569,-0.4911,-5.43,1.04,0.38,97.48,18.3,0.25,2.8,-5.27,1.04,0.31,98.02,23.24,0.15,0.81
ALBAX,Large Blend,3,9,1,97520000,0.1744,0.0978,12,4,0.3343,-0.3144,0.1735,-0.0822,0.0948,0.11,0.086,0.0601,2.97,97.03,0,0,24.93,14.42,2.42,1.52,7.37," 74,660.00 ",0.1564,3.71,11.69,11.92,3.43,12.97,12.95,1.03,4.81,8.81,10.37,18.31,0.3343,-0.3144,-0.13,0.81,1.07,93.17,10.46,1.22,15.9,2.44,0.69,0.85,92.1,12.96,0.78,14.04
ALFCX,Small Growth,1,1,3,1120000000,0.303,0.1211,9,5,0.4098,-0.4116,0.2394,-0.1346,0.3057,0.1586,0.1211,0.1135,2.58,95.5,0,1.92,99.93,17.1,1.89,1.07,7.36," 1,670.00 ",0.1956,4.92,14.99,16.1,4.55,4.96,11.53,2.81,0.34,3.36,20.27,16.16,0.4098,-0.4116,-4.24,1.29,1.35,89.53,16.87,0.96,12.27,0.76,1.18,1.17,90.66,22.51,0.62,10.12
ALMAX,Mid-Cap Growth,2,1,4,1110000000,0.2331,0.114,8,2,0.4403,-0.4861,0.2349,-0.0856,0.18,0.1268,0.1021,0.1041,2.63,97.37,0,0,11.13,20.3,2.58,1.56,9.77," 3,390.00 ",0.2759,5.4,19.76,6.52,3.7,5.86,13.97,0,2.45,4.8,17.62,19.91,0.4403,-0.4861,-5.15,1.28,1.26,90.18,16.7,0.9,11.46,0.58,1.13,1.1,88.03,21.77,0.6,9.99
ALOPX,Foreign Small/Mid Growth,3,1,3,107320000,0.237,0.1256,10,5,1.2811,-0.4832,0.3981,-0.181,0.2897,0.1163,0.1256,0.1318,1.29,95.2,0,3.51,19.85,16.56,2.32,1.37,7.42," 2,180.00 ",0.2422,8.87,17.61,11.25,3.85,5.7,8.89,0,4.29,2.2,21.15,16.19,1.2811,-0.4832,3.66,0.91,1.04,87.94,16.89,0.73,12.66,6.16,0.95,1.2,90.58,22.09,0.64,13.12
AMKIX,Diversified Emerging Mkts,4,4,4,456560000,-0.0447,0.0616,8,5,0.6963,-0.5971,0.4094,-0.1952,0.037,0.0056,0.0616,0.1143,3.31,93.46,0,3.23,30.9,12.56,2.33,1.29,3.92," 16,600.00 ",0.2361,5.53,9.75,20.28,0.97,16.48,1.85,0.91,4.51,5.73,9.65,24.33,0.6963,-0.5971,-7.08,1.03,0.24,69.85,21.4,0.13,0.47,0.13,1.15,0.84,82.2,28.07,0.35,5.26
AMPFX,Large Growth,5,3,2,32130000000,0.2468,0.1225,9,2,0.3932,-0.3764,0.1679,-0.1003,0.2661,0.172,0.1225,0.0801,8.83,87.8,0.1,3.27,21.61,17.61,2.53,1.63,9.57," 27,080.00 ",0.186,3.12,11.5,5.21,0,6.15,25.47,0,4.99,12.24,11.85,19.46,0.3932,-0.3764,1.1,0.98,1.39,95.55,12.46,1.34,17.44,2.03,1,1.11,96.54,18.5,0.71,12.06
AMVAX,Mid-Cap Value,2,1,4,1690000000,0.2406,0.1073,8,2,0.4769,-0.443,0.2873,-0.1043,0.2271,0.1305,0.0943,0.1037,2.66,97.04,0,0,22.74,13.27,1.59,0.95,7.56," 9,580.00 ",0.195,6.92,8.24,27.21,2.52,4.27,11.49,6.17,0.76,7.77,13.48,11.17,0.4769,-0.443,-3.52,1.2,1.3,88.81,15.78,0.98,12.7,-0.7,1.2,1.07,93.64,22.52,0.56,8.81
ANCPX,Large Blend,3,5,2,54860000,0.154,0.0692,4,0,0.2981,0.0339,0.1463,0.0756,0.1213,0.1234,0.0692,0.0599,0.77,99.23,0,0,32.12,16.98,2.1,1.39,8.53," 14,330.00 ",0.084,1.85,8.96,19.27,0,23.38,22.98,10.69,1.68,0,7.42,3.76,0.2981,0.0339,0.22,0.76,1.03,69.3,11.31,1.08,16.16,-1.78,0.89,0.69,86.52,17.3,0.47,7.64
ANDAX,Large Value,3,8,3,8770000000,0.1807,0.0634,10,2,0.2791,-0.3616,0.177,-0.0903,0.1722,0.1466,0.0634,0.0788,3.6,96.4,0,0,32.36,11.3,1.63,1.15,5.15," 50,780.00 ",0.1424,6.08,7.89,22.43,1.5,7.87,12.54,1.53,2.04,17.86,6.35,13.9,0.2791,-0.3616,-1.77,1.03,1.22,95.1,13.08,1.11,14.18,-3.66,1.05,0.68,94.97,19.43,0.41,5.94
ANOAX,Small Growth,2,4,4,427110000,0.3122,0.115,7,2,0.2959,-0.4212,0.1519,-0.0677,0.2399,0.1686,0.1019,0.0946,3.1,96.9,0,0,11.21,21.55,2.59,1.4,9.68," 1,680.00 ",0.2101,4.34,19.79,6.14,3.81,4.36,17.14,0,0.35,3.81,19.23,21.02,0.2959,-0.4212,-4.05,1.49,1.64,85.49,20,0.98,12.82,0.06,1.24,1.16,83.76,24.45,0.56,9.2
AOBLX,Moderate Allocation,3,1,3,191690000,0.1186,0.0891,18,3,0.2737,-0.2484,0.1245,-0.0371,0.0698,0.085,0.0791,0.0608,2.54,61.23,33.93,0.7,14.77,15.05,2.24,1.49,9.2," 46,460.00 ",0.1471,4.28,11.82,12.81,2.27,10.87,14.62,0.5,4.17,11.15,11.02,16.49,0.2737,-0.2484,0.44,1.04,0.84,94.7,9.03,1.11,9.71,0.54,1.01,0.78,96.62,12.27,0.75,8.73
AOGAX,Aggressive Allocation,2,4,3,42670000,0.0501,0.0442,7,2,0.2353,-0.3525,0.1116,-0.0821,0.0175,0.0379,0.0319,0.0404,2.25,52.34,33,12.34,95.92,10.13,1.29,0.82,4.48," 4,460.00 ",0.22,5.37,11.92,16.25,13.85,10.99,7.78,3.69,7.85,5.74,12.51,4.04,0.2353,-0.3525,-5.44,1.26,0.53,92.92,11.07,0.56,4.58,-5.62,1.29,0.46,96.86,15.66,0.35,3.34
APBAX,Moderate Allocation,4,6,2,67870000,0.092,0.0807,13,4,0.24,-0.2726,0.131,-0.0571,0.0976,0.0914,0.0807,0.0639,10.28,54.9,34.7,0.06,15.72,15.19,2.04,1.37,7.43," 28,440.00 ",0.1558,3.97,12.36,15.57,3.24,10.23,12.1,3.67,3.02,9.48,12.35,14,0.24,-0.2726,1.17,0.84,0.75,95.46,7.29,1.23,10.75,0.3,0.93,0.7,95.99,11.39,0.73,8.53
APHIX,Foreign Large Blend,5,1,5,11890000000,0.1675,0.096,10,5,0.8165,-0.4678,0.292,-0.1501,0.2335,0.1322,0.096,0.0997,1.98,98.01,0,0.01,31.03,15.1,1.79,1.36,9.53," 36,920.00 ",0.1749,10.35,8.54,17.26,4.65,22.55,10.63,0,5,1.76,14.43,4.83,0.8165,-0.4678,4.73,0.96,1.17,88.7,17.78,0.78,13.62,3.15,1.03,1,93.06,23.59,0.5,9.24
APITX,World Stock,5,5,4,53990000,0.2305,0.1012,19,8,0.4627,-0.5102,0.2031,-0.1926,0.2894,0.1452,0.1012,0.0775,0.02,94.79,0,5.17,6.79,17.41,2.35,1.37,9.27," 6,240.00 ",0.2146,8.28,15.48,7.28,1.3,5.75,10.22,0.81,2,3.36,25.4,20.12,0.4627,-0.5102,7.34,0.77,1.23,76.16,15.28,0.96,18.79,4.23,0.95,1.04,82.06,23.27,0.53,10.52
ARRRX,Global Real Estate,3,1,4,138810000,0.0508,0.0645,4,3,0.3473,-0.4603,0.134,-0.1306,0.1286,0.0935,0.0645,0.0791,0,100,0,0,23.51,20.27,1.29,3.05,9.99," 5,460.00 ",0.2648,2.31,3.39,1.54,92.76,0,0,0,0,0,0,0,0.3473,-0.4603,-3.12,1.12,0.88,79.48,17.98,0.58,8.28,-2.16,1.26,0.82,89.7,26.27,0.37,5.02
ASIAX,Pacific/Asia ex-Japan Stk,5,7,2,765110000,0.0397,0.1606,9,6,0.758,-0.5071,0.3037,-0.1329,0.0415,0.0571,0.1475,0.1441,10.39,89.61,0,0,30.15,12.02,1.68,1.99,7.32," 11,040.00 ",0.2052,4.24,20.98,21,6.71,1.88,5.59,7.04,8.8,3.67,5.82,14.28,0.758,-0.5071,1.83,0.71,0.72,62.54,15.48,0.55,10.84,9.78,0.92,1.48,76.89,23.25,0.76,17.32
ASRAX,Global Real Estate,3,1,1,1060000000,0.0094,0.0754,8,2,0.5099,-0.32,0.237,-0.0825,-0.0186,0.0647,0.0633,0.0741,4.35,52.5,21.21,0.44,12.75,20.6,1.23,5.45,10.35," 3,970.00 ",0.2028,0,0.01,0,98.57,0,0,0,0,0,1.42,0,0.5099,-0.32,2.19,0.52,0.72,66.81,9.11,0.94,16.19,1.09,0.89,0.8,68.7,21.12,0.45,8.36
ATGAX,Mid-Cap Growth,4,6,3,69250000,0.2575,0.1127,12,6,0.4047,-0.4107,0.1841,-0.1344,0.2511,0.174,0.1031,0.0661,4.35,95.65,0,0,31.16,14.91,1.66,1.24,7.69," 5,660.00 ",0.2295,0,39.26,0,4.13,4.77,13.12,0,8.3,4.79,15.99,9.65,0.4047,-0.4107,1.37,1.08,1.55,88.62,14.29,1.3,17.55,0.34,1.15,1.1,88.51,22.03,0.59,9.73
ATGRX,Foreign Large Growth,4,1,3,1870000000,0.1414,0.073,7,2,0.3344,-0.455,0.1783,-0.075,0.221,0.0917,0.073,0.0788,0.07,99.34,0,0.58,17.67,15.98,2.14,1.28,6.78," 30,190.00 ",0.1782,9.83,14.4,14.67,1.36,14.52,11.54,0.55,3.24,2.71,16.33,10.84,0.3344,-0.455,0.93,0.97,0.86,95.22,17.23,0.59,9.38,1.09,0.98,0.8,96.21,22.06,0.43,7.35
AVPAX,Small Value,3,4,3,4820000000,0.2691,0.1216,9,4,0.5128,-0.3211,0.2528,-0.1016,0.3214,0.1759,0.1216,0.1024,5.59,94.41,0,0,11.26,15.18,1.37,0.79,5.38," 1,750.00 ",0.1591,6.64,14.28,24.62,3.7,1.6,5.43,2.59,0.54,5.86,19.87,14.87,0.5128,-0.3211,-3.85,1.37,1.49,88.95,17.98,0.99,12.81,-0.1,1.32,1.23,90.33,25.14,0.58,9.11
AWARX,Large Blend,3,1,5,1480000000,0.1533,0.0595,6,2,0.3179,-0.4364,0.1097,-0.1133,0.1867,0.0939,0.0595,0.0541,10.46,86.76,1.63,0.48,8.9,14.46,1.78,1.09,5.57," 24,260.00 ",0.1812,4.98,14.16,18.57,5.6,7.94,9.92,2.09,3.36,9.52,11.55,12.32,0.3179,-0.4364,-8.89,1.2,0.85,92.9,15.43,0.65,7.77,-4.82,1.15,0.67,95.99,21.2,0.38,5.07
AWPRX,Foreign Large Growth,2,6,4,634850000,0.0809,0.0409,5,2,0.3982,-0.4954,0.0928,-0.0976,0.1303,0.0376,0.0409,0.0766,0,97.46,0,2.54,31.4,16.17,2.81,1.77,8.49," 30,990.00 ",0.2298,4.88,12.49,21.64,0.46,21.13,11.73,0,1.14,4.94,11.78,9.81,0.3982,-0.4954,-4.37,1.01,0.45,90.21,18.52,0.29,3.64,-2.16,1.07,0.59,93.93,24.37,0.28,3.73
AWSCX,World Stock,3,1,3,1230000000,0.1288,0.0435,8,4,0.3137,-0.3952,0.1929,-0.0963,0.181,0.061,0.0435,0.0531,0.02,99.86,0,0,21.94,11.16,1.31,0.75,5.7," 34,660.00 ",0.1011,6.39,12.15,20.53,0.88,8.02,11.81,1.73,5.69,12.42,6.71,13.66,0.3137,-0.3952,-1.26,0.87,0.6,92.87,15.68,0.45,6.91,-1.47,0.9,0.53,96.1,20.44,0.31,4.68
BALCX,Moderate Allocation,4,6,3,63260000000,0.1265,0.0862,9,2,0.2184,-0.2633,0.1154,-0.0476,0.129,0.1181,0.0862,0.0628,5.9,71.3,21.46,1.33,22.8,15.38,2.29,1.48,8.23," 76,000.00 ",0.1488,5.02,13.27,18.34,0.93,9.91,11.03,1.8,3.25,10.11,15.73,10.61,0.2184,-0.2633,2.2,1.01,0.97,95.63,8.7,1.32,11.64,0.13,1.03,0.76,96.52,12.5,0.72,8.28
BAMGX,Moderate Allocation,3,3,3,34690000,0.0741,0.0683,10,4,0.2145,-0.2571,0.1021,-0.0694,0.0269,0.0506,0.0557,0.0459,9.2,52.55,37.03,0,97.87,15.37,2.06,1.46,7.61," 36,330.00 ",0.2092,3.23,7.85,6.08,1.43,8.96,18.6,0,6.76,17.78,8.05,21.26,0.2145,-0.2571,-2.92,1.11,0.61,95.78,9.54,0.76,6.4,-1.88,1.07,0.62,97.75,12.99,0.56,6.26
BANCX,Ficial,4,2,4,29140000,0.281,0.1003,10,5,0.4185,-0.4498,0.2504,-0.1902,0.2741,0.1339,0.089,0.0344,27.75,71.77,0,0,43.28,12.01,0.88,1.47,2.11," 10,640.00 ",0.0869,0,0,87.74,10.59,0,0,0,0,0,1.66,0,0.4185,-0.4498,3.08,1.03,1.31,77.68,16.8,0.93,14.76,2.21,1.16,1.1,72.58,26.8,0.49,8.56
BCIFX,Large Blend,4,2,3,21040000,0.2165,0.0787,8,3,0.2501,-0.3462,0.1154,-0.0837,0.2186,0.1417,0.0787,0.0617,2,98,0,0,76.98,14.54,1.89,1.46,5.35," 96,210.00 ",0.1928,0,13.97,51.91,0,0,12.2,0,4.35,0,4.41,13.16,0.2501,-0.3462,-0.07,0.88,1.17,86.98,11.74,1.18,15.96,-1.7,1,0.79,86.05,19.45,0.48,7.76
